model,dataset,condition,score_key,successes,total,rate,cutoff_rate,accuracy_excluding_cutoffs,accuracy_delta_excluding_cutoffs,sample_interval_low,sample_interval_high,problem_count,problem_mean,problem_interval_low,problem_interval_high,min_samples_per_problem,max_samples_per_problem,mean_samples_per_problem,failures,cutoffs,max_tokens,max_model_length,temperature,top_p,n_samples,num_distractors,file,path
Qwen_Qwen3-30B-A3B-Thinking-2507,HuggingFaceH4_aime_2024,baseline:compound,correct,434,480,0.9041666666666667,0.0,0.9041666666666667,0.0,0.8745327783983067,0.9273825591832489,30,0.9041666666666667,0.8,0.9854166666666667,16,16,16.0,0,0,,81920,0.6,,16,1,Qwen_Qwen3-30B-A3B-Thinking-2507_HuggingFaceH4_aime_2024_baseline_s42_20260322_010412.json,/home/golikovp/Robust-Reasoning-Benchmark/experiments/baseline/results/Qwen_Qwen3-30B-A3B-Thinking-2507/HuggingFaceH4_aime_2024/compound/Qwen_Qwen3-30B-A3B-Thinking-2507_HuggingFaceH4_aime_2024_baseline_s42_20260322_010412.json
Qwen_Qwen3-30B-A3B-Thinking-2507,HuggingFaceH4_aime_2024,baseline:perturb,correct,428,480,0.8916666666666667,0.07083333333333333,0.9551569506726457,0.063490284005979,0.8606887969411983,0.91642503535433,30,0.8916666666666667,0.7854166666666667,0.975,16,16,16.0,0,34,,32000,,,16,32,Qwen_Qwen3-30B-A3B-Thinking-2507_HuggingFaceH4_aime_2024_baseline_s42_20260309_144556.json,/home/golikovp/Robust-Reasoning-Benchmark/experiments/baseline/results/Qwen_Qwen3-30B-A3B-Thinking-2507/HuggingFaceH4_aime_2024/perturb/Qwen_Qwen3-30B-A3B-Thinking-2507_HuggingFaceH4_aime_2024_baseline_s42_20260309_144556.json
Qwen_Qwen3-30B-A3B-Thinking-2507,HuggingFaceH4_aime_2024,compound:d1,correct,414,480,0.8625,0.0,0.8625,0.0,0.8288014895101333,0.8904421637846641,30,0.8625,0.7520833333333333,0.9520833333333333,16,16,16.0,0,0,,131072,0.6,,16,1,Qwen_Qwen3-30B-A3B-Thinking-2507_HuggingFaceH4_aime_2024_compound_s42_20260419_202857.json,/home/golikovp/Robust-Reasoning-Benchmark/experiments/compound/results/Qwen_Qwen3-30B-A3B-Thinking-2507/HuggingFaceH4_aime_2024/Qwen_Qwen3-30B-A3B-Thinking-2507_HuggingFaceH4_aime_2024_compound_s42_20260419_202857.json
Qwen_Qwen3-30B-A3B-Thinking-2507,HuggingFaceH4_aime_2024,compound:d2,correct,405,480,0.84375,0.0,0.84375,0.0,0.8085522736473225,0.8734891217184335,30,0.84375,0.7291666666666666,0.9375,16,16,16.0,0,0,,131072,0.6,,16,2,Qwen_Qwen3-30B-A3B-Thinking-2507_HuggingFaceH4_aime_2024_compound_s42_20260420_071600.json,/home/golikovp/Robust-Reasoning-Benchmark/experiments/compound/results/Qwen_Qwen3-30B-A3B-Thinking-2507/HuggingFaceH4_aime_2024/Qwen_Qwen3-30B-A3B-Thinking-2507_HuggingFaceH4_aime_2024_compound_s42_20260420_071600.json
Qwen_Qwen3-30B-A3B-Thinking-2507,HuggingFaceH4_aime_2024,compound:d3,correct,393,480,0.81875,0.0,0.81875,0.0,0.7818003428613803,0.8506380419323206,30,0.81875,0.7,0.91875,16,16,16.0,0,0,,131072,0.6,,16,3,Qwen_Qwen3-30B-A3B-Thinking-2507_HuggingFaceH4_aime_2024_compound_s42_20260421_163210.json,/home/golikovp/Robust-Reasoning-Benchmark/experiments/compound/results/Qwen_Qwen3-30B-A3B-Thinking-2507/HuggingFaceH4_aime_2024/Qwen_Qwen3-30B-A3B-Thinking-2507_HuggingFaceH4_aime_2024_compound_s42_20260421_163210.json
Qwen_Qwen3-30B-A3B-Thinking-2507,HuggingFaceH4_aime_2024,interleaved_context_line,correct,368,480,0.7666666666666667,0.0020833333333333333,0.7682672233820459,0.0016005567153791755,0.7268025644869756,0.8022962149482777,30,0.7666666666666667,0.6354166666666666,0.88125,16,16,16.0,0,1,,32000,,,16,32,Qwen_Qwen3-30B-A3B-Thinking-2507_HuggingFaceH4_aime_2024_interleaved_context_line_s42_20260309_044638.json,/home/golikovp/Robust-Reasoning-Benchmark/experiments/interleaved_context_line/results/Qwen_Qwen3-30B-A3B-Thinking-2507/HuggingFaceH4_aime_2024/Qwen_Qwen3-30B-A3B-Thinking-2507_HuggingFaceH4_aime_2024_interleaved_context_line_s42_20260309_044638.json
Qwen_Qwen3-30B-A3B-Thinking-2507,HuggingFaceH4_aime_2024,interleaved_context_symbol,correct,0,480,0.0,0.0020833333333333333,0.0,0.0,0.0,0.00793978855890027,30,0.0,0.0,0.0,16,16,16.0,0,1,,32000,,,16,32,Qwen_Qwen3-30B-A3B-Thinking-2507_HuggingFaceH4_aime_2024_interleaved_context_symbol_s42_20260309_044638.json,/home/golikovp/Robust-Reasoning-Benchmark/experiments/interleaved_context_symbol/results/Qwen_Qwen3-30B-A3B-Thinking-2507/HuggingFaceH4_aime_2024/Qwen_Qwen3-30B-A3B-Thinking-2507_HuggingFaceH4_aime_2024_interleaved_context_symbol_s42_20260309_044638.json
Qwen_Qwen3-30B-A3B-Thinking-2507,HuggingFaceH4_aime_2024,interleaved_context_word,correct,118,480,0.24583333333333332,0.00625,0.24737945492662475,0.0015461215932914274,0.20943126755183997,0.2862714582989343,30,0.24583333333333332,0.12916666666666668,0.3729166666666667,16,16,16.0,0,3,,32000,,,16,32,Qwen_Qwen3-30B-A3B-Thinking-2507_HuggingFaceH4_aime_2024_interleaved_context_word_s42_20260309_044638.json,/home/golikovp/Robust-Reasoning-Benchmark/experiments/interleaved_context_word/results/Qwen_Qwen3-30B-A3B-Thinking-2507/HuggingFaceH4_aime_2024/Qwen_Qwen3-30B-A3B-Thinking-2507_HuggingFaceH4_aime_2024_interleaved_context_word_s42_20260309_044638.json
Qwen_Qwen3-30B-A3B-Thinking-2507,HuggingFaceH4_aime_2024,not_not,correct,395,480,0.8229166666666666,0.075,0.8851351351351351,0.06221846846846846,0.7862412266386819,0.854464326583695,30,0.8229166666666666,0.7083333333333334,0.9166666666666666,16,16,16.0,0,36,,32000,,,16,32,Qwen_Qwen3-30B-A3B-Thinking-2507_HuggingFaceH4_aime_2024_not_not_s42_20260311_190344.json,/home/golikovp/Robust-Reasoning-Benchmark/experiments/not_not/results/Qwen_Qwen3-30B-A3B-Thinking-2507/HuggingFaceH4_aime_2024/Qwen_Qwen3-30B-A3B-Thinking-2507_HuggingFaceH4_aime_2024_not_not_s42_20260311_190344.json
Qwen_Qwen3-30B-A3B-Thinking-2507,HuggingFaceH4_aime_2024,opposites,correct,373,480,0.7770833333333333,0.008333333333333333,0.7836134453781513,0.006530112044817904,0.7377321938753496,0.8120345066315933,30,0.7770833333333333,0.6375,0.8958333333333334,16,16,16.0,0,4,,32000,,,16,32,Qwen_Qwen3-30B-A3B-Thinking-2507_HuggingFaceH4_aime_2024_opposites_s42_20260309_044638.json,/home/golikovp/Robust-Reasoning-Benchmark/experiments/opposites/results/Qwen_Qwen3-30B-A3B-Thinking-2507/HuggingFaceH4_aime_2024/Qwen_Qwen3-30B-A3B-Thinking-2507_HuggingFaceH4_aime_2024_opposites_s42_20260309_044638.json
Qwen_Qwen3-30B-A3B-Thinking-2507,HuggingFaceH4_aime_2024,passive_context:repeat:d3,correct,409,480,0.8520833333333333,0.0,0.8520833333333333,0.0,0.817530593573678,0.8810451386494297,30,0.8520833333333333,0.7458333333333333,0.9395833333333333,16,16,16.0,0,0,131072,131072,0.6,0.95,16,3,Qwen_Qwen3-30B-A3B-Thinking-2507_HuggingFaceH4_aime_2024_passive_context_d3_s42_20260804_205226.json,/home/golikovp/Robust-Reasoning-Benchmark/experiments/passive_context/results/Qwen_Qwen3-30B-A3B-Thinking-2507/HuggingFaceH4_aime_2024/Qwen_Qwen3-30B-A3B-Thinking-2507_HuggingFaceH4_aime_2024_passive_context_d3_s42_20260804_205226.json
Qwen_Qwen3-30B-A3B-Thinking-2507,HuggingFaceH4_aime_2024,rail_fence,correct,0,480,0.0,0.00625,0.0,0.0,0.0,0.00793978855890027,30,0.0,0.0,0.0,16,16,16.0,0,3,,32000,,,16,32,Qwen_Qwen3-30B-A3B-Thinking-2507_HuggingFaceH4_aime_2024_rail_fence_s42_20260309_044638.json,/home/golikovp/Robust-Reasoning-Benchmark/experiments/rail_fence/results/Qwen_Qwen3-30B-A3B-Thinking-2507/HuggingFaceH4_aime_2024/Qwen_Qwen3-30B-A3B-Thinking-2507_HuggingFaceH4_aime_2024_rail_fence_s42_20260309_044638.json
Qwen_Qwen3-30B-A3B-Thinking-2507,HuggingFaceH4_aime_2024,rectangle_perimeter,correct,21,480,0.04375,0.016666666666666666,0.04449152542372881,0.0007415254237288157,0.02879051542958262,0.06595454163041387,30,0.04375,0.004166666666666667,0.09791666666666667,16,16,16.0,0,8,,32000,,,16,32,Qwen_Qwen3-30B-A3B-Thinking-2507_HuggingFaceH4_aime_2024_rectangle_perimeter_s42_20260317_212640.json,/home/golikovp/Robust-Reasoning-Benchmark/experiments/rectangle_perimeter/results/Qwen_Qwen3-30B-A3B-Thinking-2507/HuggingFaceH4_aime_2024/Qwen_Qwen3-30B-A3B-Thinking-2507_HuggingFaceH4_aime_2024_rectangle_perimeter_s42_20260317_212640.json
Qwen_Qwen3-30B-A3B-Thinking-2507,HuggingFaceH4_aime_2024,sentence_reversal,correct,382,480,0.7958333333333333,0.00625,0.80083857442348,0.0050052410901467725,0.7574901058670767,0.8294788525689072,30,0.7958333333333333,0.6625,0.9083333333333333,16,16,16.0,0,3,,32000,,,16,32,Qwen_Qwen3-30B-A3B-Thinking-2507_HuggingFaceH4_aime_2024_sentence_reversal_s42_20260312_024111.json,/home/golikovp/Robust-Reasoning-Benchmark/experiments/sentence_reversal/results/Qwen_Qwen3-30B-A3B-Thinking-2507/HuggingFaceH4_aime_2024/Qwen_Qwen3-30B-A3B-Thinking-2507_HuggingFaceH4_aime_2024_sentence_reversal_s42_20260312_024111.json
Qwen_Qwen3-30B-A3B-Thinking-2507,HuggingFaceH4_aime_2024,snake_horizontal,correct,77,480,0.16041666666666668,0.025,0.16452991452991453,0.004113247863247849,0.1303009159688993,0.19592485709402047,30,0.16041666666666668,0.07916666666666666,0.25416666666666665,16,16,16.0,0,12,,32000,,,16,32,Qwen_Qwen3-30B-A3B-Thinking-2507_HuggingFaceH4_aime_2024_snake_horizontal_s42_20260313_032315.json,/home/golikovp/Robust-Reasoning-Benchmark/experiments/snake_horizontal/results/Qwen_Qwen3-30B-A3B-Thinking-2507/HuggingFaceH4_aime_2024/Qwen_Qwen3-30B-A3B-Thinking-2507_HuggingFaceH4_aime_2024_snake_horizontal_s42_20260313_032315.json
Qwen_Qwen3-30B-A3B-Thinking-2507,HuggingFaceH4_aime_2024,snake_vertical,correct,4,480,0.008333333333333333,0.0,0.008333333333333333,0.0,0.0032452534639503556,0.021228871952301574,30,0.008333333333333333,0.0,0.022916666666666665,16,16,16.0,0,0,,32000,,,16,32,Qwen_Qwen3-30B-A3B-Thinking-2507_HuggingFaceH4_aime_2024_snake_vertical_s42_20260313_032315.json,/home/golikovp/Robust-Reasoning-Benchmark/experiments/snake_vertical/results/Qwen_Qwen3-30B-A3B-Thinking-2507/HuggingFaceH4_aime_2024/Qwen_Qwen3-30B-A3B-Thinking-2507_HuggingFaceH4_aime_2024_snake_vertical_s42_20260313_032315.json
Qwen_Qwen3-30B-A3B-Thinking-2507,HuggingFaceH4_aime_2024,split_reversal,correct,166,480,0.3458333333333333,0.0,0.3458333333333333,0.0,0.3046576480077653,0.3894571201312289,30,0.3458333333333333,0.23333333333333334,0.4625,16,16,16.0,0,0,,32000,,,16,32,Qwen_Qwen3-30B-A3B-Thinking-2507_HuggingFaceH4_aime_2024_split_reversal_s42_20260309_044638.json,/home/golikovp/Robust-Reasoning-Benchmark/experiments/split_reversal/results/Qwen_Qwen3-30B-A3B-Thinking-2507/HuggingFaceH4_aime_2024/Qwen_Qwen3-30B-A3B-Thinking-2507_HuggingFaceH4_aime_2024_split_reversal_s42_20260309_044638.json
Qwen_Qwen3-30B-A3B-Thinking-2507,HuggingFaceH4_aime_2024,word_reversal,correct,228,480,0.475,0.0,0.475,0.0,0.43070103217927025,0.5196959572486747,30,0.475,0.3375,0.6125,16,16,16.0,0,0,,32000,,,16,32,Qwen_Qwen3-30B-A3B-Thinking-2507_HuggingFaceH4_aime_2024_word_reversal_s42_20260309_044638.json,/home/golikovp/Robust-Reasoning-Benchmark/experiments/word_reversal/results/Qwen_Qwen3-30B-A3B-Thinking-2507/HuggingFaceH4_aime_2024/Qwen_Qwen3-30B-A3B-Thinking-2507_HuggingFaceH4_aime_2024_word_reversal_s42_20260309_044638.json
Qwen_Qwen3-30B-A3B-Thinking-2507,HuggingFaceH4_aime_2024,wrappers,correct,325,480,0.6770833333333334,0.008333333333333333,0.6827731092436975,0.0056897759103641254,0.6339886727033174,0.7173659855154054,30,0.6770833333333334,0.5270833333333333,0.8125,16,16,16.0,0,4,,32000,,,16,32,Qwen_Qwen3-30B-A3B-Thinking-2507_HuggingFaceH4_aime_2024_wrappers_s42_20260309_044638.json,/home/golikovp/Robust-Reasoning-Benchmark/experiments/wrappers/results/Qwen_Qwen3-30B-A3B-Thinking-2507/HuggingFaceH4_aime_2024/Qwen_Qwen3-30B-A3B-Thinking-2507_HuggingFaceH4_aime_2024_wrappers_s42_20260309_044638.json
Qwen_Qwen3-30B-A3B-Thinking-2507,MathArena_aime_2025,baseline:compound,correct,416,480,0.8666666666666667,0.0,0.8666666666666667,0.0,0.8333257856869319,0.8941850360365412,30,0.8666666666666667,0.75625,0.95625,16,16,16.0,0,0,,131072,0.6,,16,1,Qwen_Qwen3-30B-A3B-Thinking-2507_MathArena_aime_2025_baseline_s42_20260330_151804.json,/home/golikovp/Robust-Reasoning-Benchmark/experiments/baseline/results/Qwen_Qwen3-30B-A3B-Thinking-2507/MathArena_aime_2025/compound/Qwen_Qwen3-30B-A3B-Thinking-2507_MathArena_aime_2025_baseline_s42_20260330_151804.json
