Experiment                     | Total    | Accuracy   | Failures   | File
----------------------------------------------------------------------------------------------------
baseline                       | 150      | 64.67%     | 0          | GAIR_LIMO-v2_baseline_s42_20260102_043229.json
opposites                      | 150      | 61.33%     | 0          | GAIR_LIMO-v2_opposites_s42_20260102_211300.json
opposites_not                  | 150      | 56.00%     | 0          | GAIR_LIMO-v2_opposites_not_s42_20260105_014035.json
interleaved_substitutions      | 150      | 42.67%     | 0          | GAIR_LIMO-v2_interleaved_substitutions_s42_20260105_175105.json
numerical_wrappers             | 150      | 52.00%     | 2          | GAIR_LIMO-v2_numerical_wrappers_s42_20260106_032836.json
split_indices                  | 150      | 50.00%     | 1          | GAIR_LIMO-v2_split_indices_s42_20260110_224532.json
word_split_swap                | 150      | 6.67%      | 5          | GAIR_LIMO-v2_word_split_swap_s42_20260111_215645.json
word_reversal                  | 150      | 49.33%     | 1          | GAIR_LIMO-v2_word_reversal_s42_20260111_210201.json
sentence_reversal              | 150      | 62.00%     | 1          | GAIR_LIMO-v2_sentence_reversal_s42_20260111_210202.json
